1,Phường Phúc Xá,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
4,Phường Trúc Bạch,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
6,Phường Vĩnh Phúc,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
7,Phường Cống Vị,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
8,Phường Liễu Giai,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
10,Phường Nguyễn Trung Trực,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
13,Phường Quán Thánh,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
16,Phường Ngọc Hà,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
19,Phường Điện Biên,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
22,Phường Đội Cấn,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
25,Phường Ngọc Khánh,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
28,Phường Kim Mã,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
31,Phường Giảng Võ,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
34,Phường Thành Công,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,1
37,Phường Phúc Tân,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
40,Phường Đồng Xuân,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
43,Phường Hàng Mã,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
46,Phường Hàng Buồm,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
49,Phường Hàng Đào,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
52,Phường Hàng Bồ,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
55,Phường Cửa Đông,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
58,Phường Lý Thái Tổ,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
61,Phường Hàng Bạc,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
64,Phường Hàng Gai,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
67,Phường Chương Dương Độ,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
70,Phường Hàng Trống,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
73,Phường Cửa Nam,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
76,Phường Hàng Bông,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
79,Phường Tràng Tiền,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
82,Phường Trần Hưng Đạo,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
85,Phường Phan Chu Trinh,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
88,Phường Hàng Bài,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,2
91,Phường Phú Thượng,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,3
94,Phường Nhật Tân,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,3
97,Phường Tứ Liên,Phường,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07,3
